author,link,category,date of publication,number of tokens,number of words without punctuation,number of types,number of links inside the news,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,emotiveness,diversity,indice
"Daniel Weterman, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,cristovam-buarque-avalia-deixar-a-vida-publica,70002243493",tv_celebridades,26 de março de 2018 ,1175,1024,386,0,3,189,14,299,45,59,20,15,0,74,3.02,4839,20.48,4.72559,0.0,0.213115,0.376953,3237
"Vera Rosa, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,apos-condenacao-de-lula-petistas-fazem-reuniao-de-emergencia-na-sede-do-partido-em-sp,70002164016",tv_celebridades,24 de janeiro de 2018 ,890,747,402,0,9,126,3,213,30,31,17,2,0,44,3.32558,3569,17.3721,4.77778,0.00133869,0.179941,0.538153,3238
"Por José Vianna, RPC Curitiba e G1 PR ",https://g1.globo.com/pr/parana/noticia/agentes-da-prf-nao-visualizaram-nada-de-anormal-na-estrada-do-trajeto-do-caravana-de-lula-diz-relatorio.ghtml,tv_celebridades,28/03/2018 19h43 ,726,634,310,None,13,91,3,187,19,29,13,0,0,27,2.78788,3048,19.2121,4.80757,0.00157729,0.172662,0.488959,3239
O Estado de S.Paulo ,"http://politica.estadao.com.br/noticias/geral,machado-cita-mensalao-da-cupula-do-pmdb,10000057544",politica,16 de junho de 2016 ,754,614,295,0,19,92,2,195,13,23,13,1,0,33,3.5,2868,15.35,4.67101,0.0,0.125436,0.480456,3240
"Por G1, Brasília ",https://g1.globo.com/politica/noticia/apos-relator-ministros-devem-comecar-a-votar-nesta-quinta-no-julgamento-do-tse.ghtml,politica,08/06/2017 05h00 ,609,540,252,None,14,76,9,179,14,12,9,0,0,21,3.45,2646,27.0,4.9,0.0037037,0.101961,0.466667,3241
Por G1 PE ,https://g1.globo.com/pernambuco/noticia/presidente-e-vice-de-associacao-de-pms-sao-presos-por-descumprir-ordem-judicial.ghtml,politica,09/12/2016 17h21 ,1624,1441,560,None,9,172,13,403,75,36,30,0,3,48,3.26786,7329,25.7321,5.08605,0.00138793,0.193043,0.388619,3242
Redação ,http://politica.estadao.com.br/blogs/fausto-macedo/direto-do-plenario-habeas-de-lula-e-doacoes-eleitorais-ocultas-na-pauta-do-supremo/,politica,22 de março de 2018 ,1918,1698,573,0,37,182,5,566,92,40,13,0,0,44,4.0,8881,30.8727,5.23027,0.00235571,0.176471,0.337456,3243
"Ricardo Brandt, Andreza Matais, Julia Affonso ",http://politica.estadao.com.br/blogs/fausto-macedo/ex-presidente-da-andrade-gutierrez-negou-irregularidades-no-caso-gamecorp/,politica,07 de abril de 2016 ,634,565,275,0,10,66,6,185,23,5,10,0,0,13,3.28571,2743,26.9048,4.85487,0.0,0.111554,0.486726,3244
Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/procurador-do-mpf-cita-tropa-de-choque-de-lula-e-critica-tentativa-de-tornar-julgamento-politico-durante-leitura-do-parecer.ghtml,tv_celebridades,24/01/2018 09h48 ,1062,935,462,0,15,127,5,288,42,33,19,0,1,43,2.59184,4584,19.0816,4.90267,0.0,0.180723,0.494118,3245
"Por G1 SP, São Paulo ",https://g1.globo.com/sp/sao-paulo/noticia/policia-analisa-video-de-lanchonete-onde-cliente-recebeu-pedido-com-a-palavra-macaco.ghtml,politica,29/03/2018 03h01 ,613,546,279,None,4,84,2,165,17,20,4,0,0,32,2.39286,2600,19.5,4.7619,0.003663,0.148594,0.510989,3246
Por G1 Zona da Mata ,https://g1.globo.com/mg/zona-da-mata/concursos-e-emprego/noticia/inscricoes-para-agentes-de-saude-e-de-endemias-em-vicosa-terminam-nesta-terca.ghtml,politica,27/03/2018 10h13 ,713,641,342,0,2,59,2,210,38,8,10,0,0,4,2.32258,3111,20.6774,4.85335,0.00156006,0.171004,0.533541,3247
"Por Luiza Garonce e Neila Almeida, G1 DF e TV Globo ",https://g1.globo.com/df/distrito-federal/noticia/unb-preve-demissao-de-1100-estagiarios-para-conter-deficit-de-r-92-milhoes.ghtml,tv_celebridades,28/03/2018 14h42 ,1111,960,443,0,10,163,6,278,27,41,28,0,2,35,2.7963,4705,17.7778,4.90104,0.0,0.154195,0.461458,3248
"Por Kleber Tomaz, G1 São Paulo ",https://g1.globo.com/sao-paulo/noticia/acusada-de-chantagear-assessor-do-deputado-marco-feliciano-jornalista-vira-re.ghtml,tv_celebridades,11/04/2017 06h00 ,2110,1837,716,None,18,333,11,499,81,89,48,15,0,137,3.0,8916,20.1868,4.85357,0.000544366,0.204327,0.389766,3249
"Vera Rosa, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,os-109-dias-de-solidao-da-dama-de-ferro-do-pt,10000072418",tv_celebridades,27 de agosto de 2016 ,1478,1233,679,0,6,193,8,365,51,58,17,6,0,100,3.82812,6037,19.2656,4.89619,0.00405515,0.19534,0.550689,3250
"Por Alana Fonseca e Thais Kaniak, G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/operacao-lava-jato-investiga-ferida-aberta-do-pedagio-do-parana-diz-procurador-do-mpf.ghtml,politica,22/02/2018 10h30 ,1606,1392,606,None,21,187,1,433,49,45,32,0,0,45,3.96296,6908,25.7778,4.96264,0.00502874,0.151613,0.435345,3251
"Ricardo Brandt, Julia Affonso, Luiz Vassalo e Fausto Macedo ",http://politica.estadao.com.br/blogs/fausto-macedo/palocci-diz-ter-avisado-lula-nosso-ilicito-com-a-odebrecht-ja-esta-monstruoso/,politica,06 de setembro de 2017 ,1500,1318,562,0,16,199,10,388,40,40,19,3,1,68,2.98361,6207,21.6066,4.70941,0.0,0.136286,0.426404,3252
Julia Affonso e Fausto Macedo ,http://politica.estadao.com.br/blogs/fausto-macedo/pf-prende-ex-diretor-do-campus-de-universidade-do-parana-dono-de-58-quitinetes/,politica,13 de março de 2018 ,1333,1141,506,None,26,162,4,320,61,38,22,0,1,66,3.49091,5903,20.7455,5.17353,0.0,0.205394,0.443471,3253
José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/pt-cai-na-real/,politica,08 de novembro de 2017 ,2296,2073,923,0,20,282,1,605,109,78,45,1,1,107,2.62353,10026,24.3882,4.83647,0.00337675,0.210823,0.445248,3254
Por G1 Campinas e Região ,https://g1.globo.com/sp/campinas-regiao/noticia/ouro-verde-pros-anuncia-saida-da-base-do-governo-jonas-na-camara.ghtml,politica,13/12/2017 19h40 ,1575,1354,606,None,23,199,6,406,35,59,26,1,1,81,3.15714,6905,19.3429,5.0997,0.0,0.155372,0.447563,3255
Por BBC ,https://g1.globo.com/natureza/noticia/mineradoras-canadenses-souberam-de-extincao-de-reserva-na-amazonia-5-meses-antes-do-anuncio-oficial.ghtml,politica,26/08/2017 09h53 ,1397,1217,555,None,4,185,2,363,85,55,26,3,0,64,3.27273,6227,22.1273,5.11668,0.00164339,0.255474,0.456039,3256
,https://g1.globo.com/resumo-do-dia/noticia/sexta-feira-9-de-junho-de-2017.ghtml,politica,09/06/2017,1125,976,556,None,15,159,10,304,39,28,12,0,1,53,2.81132,4741,18.4151,4.85758,0.00409836,0.144708,0.569672,3257
Por Deutsche Welle ,https://g1.globo.com/ciencia-e-saude/noticia/indonesia-testa-em-larga-escala-nova-arma-contra-o-aedes.ghtml,politica,16/07/2017 04h26 ,1198,1054,484,0,0,153,5,303,71,70,30,0,0,42,2.48276,5439,18.1724,5.16034,0.0208729,0.309211,0.459203,3258
"Jamil Chade e Lígia Formenti, O Estado de S. Paulo ","http://saude.estadao.com.br/noticias/geral,oms-declara-fim-de-emergencia-global-por-zika,10000089226",sociedade_cotidiano,18 de novembro de 2016 ,1069,904,440,0,15,164,6,249,50,49,29,0,0,41,2.89474,4480,15.8596,4.95575,0.00774336,0.239709,0.486726,3259
"Por Bárbara Almeida, G1 Triângulo Mineiro ",https://g1.globo.com/mg/triangulo-mineiro/noticia/suspeita-de-matar-e-retirar-bebe-de-gravida-diz-que-fez-por-amor-e-policia-revela-que-vitima-estava-viva-no-parto.ghtml,sociedade_cotidiano,06/12/2017 19h30 ,1009,914,395,0,9,175,2,233,36,35,31,1,0,56,1.9,4277,18.28,4.67943,0.0,0.17402,0.432166,3260
"Gilberto Amendola, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,primos-de-lula-organizam-ato-em-garanhuns-para-acompanhar-julgamento,70002154078",politica,17 de janeiro de 2018 ,1020,877,426,0,13,111,0,278,28,44,14,3,3,49,3.1087,4134,19.0652,4.7138,0.0,0.18509,0.485747,3261
Por BBC ,https://g1.globo.com/mundo/noticia/massacres-geram-efeito-imitacao-atiradores-querem-fama-diz-psicologo-americano.ghtml,sociedade_cotidiano,17/02/2018 16h10 ,792,692,347,None,1,107,4,203,43,27,16,0,0,56,3.33333,3490,23.0667,5.04335,0.00144509,0.225806,0.501445,3262
Por Diário TV 1ª Edição ,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/mutirao-em-mogi-das-cruzes-leva-multidao-aos-postos-de-saude-neste-sabado.ghtml,politica,13/01/2018 15h11 ,961,854,417,0,6,153,8,232,52,38,30,0,0,32,2.09804,3998,16.7451,4.6815,0.00468384,0.233766,0.48829,3263
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/sexta-feira-28-de-julho-de-2017.ghtml,politica,28/07/2017 20h05 ,894,797,458,0,4,116,6,243,38,26,21,0,0,30,2.06383,3770,16.9574,4.73024,0.00125471,0.178273,0.574655,3264
"Por Flávia Cristini e Pedro Ângelo, G1 MG, Belo Horizonte ",https://g1.globo.com/mg/minas-gerais/desastre-ambiental-em-mariana/noticia/mp-e-mpf-propoem-mais-duas-fundacoes-para-diagnosticar-danos-socioeconomicos-do-desastre-de-mariana.ghtml,politica,17/11/2017 14h32 ,1050,924,424,None,16,134,3,269,39,38,22,1,0,46,2.68085,4713,19.6596,5.10065,0.0021645,0.191067,0.458874,3265
José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/honra-e-outra-coisa-gente/,politica,12 de setembro de 2016 ,1356,1209,677,0,4,162,5,313,98,68,10,5,0,101,4.45455,6127,36.6364,5.06782,0.00496278,0.349474,0.559967,3266
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/segunda-feira-11-de-dezembro-de-2017.ghtml,tv_celebridades,11/12/2017 19h28 ,919,791,464,0,11,114,2,238,29,25,13,0,0,31,2.84444,3657,17.5778,4.62326,0.00379267,0.153409,0.586599,3267
Por BBC ,https://g1.globo.com/tecnologia/noticia/quais-sao-as-sofisticadas-armas-ciberneticas-da-guerra-do-seculo-21.ghtml,sociedade_cotidiano,05/03/2017 08h14 ,2114,1837,819,0,17,318,14,494,135,73,36,0,0,140,3.07778,9391,20.4111,5.11214,0.00272183,0.256158,0.445836,3268
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/segunda-feira-24-de-julho-de-2017.ghtml,politica,24/07/2017 18h57 ,695,632,392,None,9,99,5,190,35,19,21,0,0,18,1.65789,3136,16.6316,4.96203,0.00316456,0.186851,0.620253,3269
Julia Affonso e Ricardo Brandt ,http://politica.estadao.com.br/blogs/fausto-macedo/mesmo-sem-diploma-lula-pode-cumprir-pena-em-prisao-especial-dizem-constitucionalistas/,tv_celebridades,22 de março de 2018 ,960,844,386,None,4,129,8,211,64,57,26,0,1,44,2.97436,4202,21.641,4.97867,0.00236967,0.355882,0.457346,3270
"Jamil Chade, Correspondente ","http://saude.estadao.com.br/noticias/geral,zika-perdeu-forca-no-brasil-diz-oms,70001649513",politica,01 de fevereiro de 2017 ,1043,895,416,0,11,163,3,233,52,49,24,0,0,46,2.84615,4288,17.2115,4.79106,0.00893855,0.255051,0.464804,3271
Ricardo Brandt e Julia Affonso ,http://politica.estadao.com.br/blogs/fausto-macedo/delegado-da-pf-aponta-fraude-complexa-dentro-da-brf/,politica,05 de março de 2018 ,1582,1424,587,0,35,177,7,450,108,27,17,0,0,49,3.85366,7834,34.7317,5.5014,0.00421348,0.215311,0.412219,3272
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/quarta-feira-10-de-maio-de-2017.ghtml,politica,10/05/2017 21h24 ,787,680,414,None,6,95,2,205,32,20,9,1,0,29,2.60976,3239,16.5854,4.76324,0.00147059,0.173333,0.608824,3273
Por G1 ,https://g1.globo.com/mundo/noticia/atentado-em-nova-york-foi-o-oitavo-com-atropelamento-em-2017.ghtml,tv_celebridades,31/10/2017 20h55 ,1149,997,443,0,1,168,0,296,44,24,24,0,0,32,2.53333,4848,16.6167,4.86259,0.00100301,0.146552,0.444333,3274
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/quarta-feira-14-de-marco-de-2018.ghtml,tv_celebridades,14/03/2018 19h49 ,796,703,406,None,10,85,2,216,32,32,10,0,0,36,2.58333,3296,19.5278,4.68848,0.00284495,0.212625,0.577525,3275
"Por G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/retrospectiva-2017-os-casos-mais-curiosos-do-ano-no-parana.ghtml,politica,28/12/2017 05h30 ,1971,1717,776,0,3,243,5,533,58,49,28,1,0,67,2.61856,7934,17.701,4.62085,0.00174723,0.137887,0.451951,3276
Estado da Arte ,http://cultura.estadao.com.br/blogs/estado-da-arte/ian-mcewan-aos-formandos-defendam-a-liberdade-de-expressao/,politica,27 de agosto de 2017 ,2398,2075,959,0,5,346,22,479,192,126,51,9,3,192,2.90991,10686,18.6937,5.14988,0.00144578,0.385455,0.462169,3277
"Por Jeferson Carlos, G1 Ariquemes e Vale do Jamari ",https://g1.globo.com/ro/ariquemes-e-vale-do-jamari/noticia/policia-civil-de-ro-diz-ter-iniciado-nova-linha-de-investigacao-sobre-jovem-gravida-desaparecida-ha-tres-meses.ghtml,tv_celebridades,13/02/2018 18h46 ,938,844,364,0,9,149,4,195,51,38,25,0,9,57,3.03226,3902,27.2258,4.62322,0.00118483,0.258721,0.43128,3278
Coluna do Estadão ,http://politica.estadao.com.br/blogs/coluna-do-estadao/para-frear-supersalarios-cnj-vai-monitorar-gastos-de-tribunais-de-justica/,tv_celebridades,17 de agosto de 2017 ,713,619,373,0,19,100,9,192,22,26,13,0,0,25,1.95833,3017,12.8958,4.87399,0.00646204,0.164384,0.602585,3279
Redação ,http://politica.estadao.com.br/blogs/fausto-macedo/grafica-ligada-ao-pt-girou-r-67-mi-em-cinco-anos-aponta-pf/,tv_celebridades,22 de julho de 2015 ,1343,1206,542,None,23,128,5,345,56,28,14,0,0,51,2.68627,5952,23.6471,4.93532,0.00165837,0.17759,0.44942,3280
"Por Aline Albuquerque*, G1 Sorocaba e Jundiaí ",https://g1.globo.com/sao-paulo/sorocaba-jundiai/noticia/pai-de-transexual-relata-luta-contra-preconceito-fui-a-balada-para-ela-nao-ser-agredida.ghtml,sociedade_cotidiano,13/08/2017 08h06 ,1001,876,418,0,7,162,0,225,42,54,10,11,1,77,2.55102,4152,17.8776,4.73973,0.0022831,0.248062,0.477169,3281
Giovana Girardi ,http://sustentabilidade.estadao.com.br/blogs/ambiente-se/atropelamento-fauna/,tv_celebridades,10 de julho de 2016 ,2105,1852,784,0,13,261,9,504,99,89,40,0,0,108,3.24359,8933,23.7436,4.82343,0.00215983,0.245752,0.423326,3282
"Por Léo Arcoverde, Adriana Perroni e Glauco Araújo, GloboNews e G1 SP ",https://g1.globo.com/sp/sao-paulo/noticia/verba-do-governo-federal-para-combate-as-enchentes-em-sp-cai-nos-ultimos-anos.ghtml,sociedade_cotidiano,21/03/2018 19h17 ,1272,1132,546,0,5,151,10,321,50,44,22,4,0,40,2.25806,5445,18.2581,4.81007,0.000883392,0.199153,0.482332,3283
"Por Renan Ramalho, G1, Brasília ",https://g1.globo.com/politica/operacao-lava-jato/noticia/chefe-de-compliance-da-odebrecht-diz-que-brasil-nao-chega-nem-perto-dos-paises-mais-corruptos.ghtml,politica,04/11/2017 05h00 ,2061,1829,702,None,9,309,11,447,121,170,40,17,4,171,2.52174,8898,19.8804,4.86495,0.00164024,0.384921,0.383816,3284
Por G1 São Paulo ,https://g1.globo.com/sao-paulo/noticia/dona-marisa-fica-sem-fluxo-sanguineo-cerebral-e-familia-autoriza-doar-orgaos.ghtml,politica,02/02/2017 10h36 ,989,872,426,0,3,123,5,266,54,29,24,0,0,22,2.4375,4464,18.1667,5.11927,0.00114679,0.213368,0.488532,3285
"Por Régis Melo, Cabo Verde, MG ",https://g1.globo.com/mg/sul-de-minas/noticia/mulher-presa-por-rapto-de-bebe-em-mg-planejou-crime-por-meses-e-tentou-comprar-crianca-diz-policia.ghtml,politica,11/08/2017 12h42 ,1153,1004,371,0,6,202,1,243,24,60,37,1,1,59,3.38636,4537,22.8182,4.51892,0.000996016,0.188764,0.369522,3286
"Por Mateus Rodrigues, G1 DF ",https://g1.globo.com/distrito-federal/noticia/contratos-de-obras-citadas-nas-delacoes-da-odebrecht-atingem-r-9-bilhoes-no-df.ghtml,politica,24/06/2017 08h08 ,2119,1822,705,0,12,255,11,546,63,67,40,0,3,55,3.7125,8885,22.775,4.87651,0.000548847,0.162297,0.386937,3287
Igor Moraes,"http://politica.estadao.com.br/noticias/geral,veja-quem-quer-ser-presidente-em-2018,70002054149",politica,23 de julho de 2018,1674,1494,631,0,24,229,13,478,76,68,27,0,0,70,2.43243,7207,20.1892,4.82396,0.00133869,0.203678,0.422356,3288
Por G1 AM ,https://g1.globo.com/am/amazonas/noticia/citada-em-delacoes-da-odebrecht-arena-da-amazonia-custou-r-6695-milhoes.ghtml,politica,24/06/2017 08h06 ,846,755,374,0,11,97,2,211,17,20,18,0,0,27,2.06818,3616,17.1591,4.7894,0.0013245,0.12013,0.495364,3289
CRIS OLIVETTE ,http://economia.estadao.com.br/blogs/sua-oportunidade/experiencias-transformam-e-inspiram-negocios/,politica,08 de outubro de 2017 ,1996,1726,805,0,6,364,10,437,85,93,49,18,1,121,2.5,8374,15.9815,4.85168,0.00289687,0.222222,0.466396,3290
Por G1 ,https://g1.globo.com/agenda-do-dia/noticia/segunda-feira-14-de-janeiro.ghtml,sociedade_cotidiano,15/01/2018 01h58 ,936,824,467,0,9,132,3,248,38,30,18,0,0,18,2.24,3922,16.48,4.75971,0.00121359,0.178947,0.566748,3291
"Por G1, Brasília ",https://g1.globo.com/politica/noticia/jungmann-diz-que-tropas-federais-farao-seguranca-do-planalto-itamaraty-e-ministerios.ghtml,politica,24/05/2017 16h31 ,1095,947,401,0,12,125,12,300,34,36,19,2,0,31,3.89474,4865,24.9211,5.13728,0.00211193,0.164706,0.423442,3292
"Julia Affonso, Mateus Coutinho e Fausto Macedo ",http://politica.estadao.com.br/blogs/fausto-macedo/promotor-atribui-a-lula-cegueira-deliberada-para-lavagem-no-caso-triplex/,politica,11 de março de 2016 ,1888,1714,730,0,29,219,6,465,85,64,23,0,0,129,2.32,8835,22.8533,5.15461,0.00116686,0.217836,0.425904,3293
"Por Camila Bomfim, TV Globo, Brasília ",https://g1.globo.com/politica/noticia/pf-indicia-lula-por-corrupcao-em-novo-inquerito-sobre-compra-de-mps.ghtml,politica,15/05/2017 20h13 ,1257,1128,499,0,41,138,4,351,48,33,11,0,0,47,2.86667,5550,25.0667,4.92021,0.00620567,0.165644,0.442376,3294
"Por Arthur Guimarães e Ilze Scamparini, TV Globo ",https://g1.globo.com/rj/rio-de-janeiro/noticia/juiz-marcelo-bretas-admite-deixar-o-rio-por-questoes-de-seguranca.ghtml,tv_celebridades,27/12/2017 15h28 ,1796,1557,605,0,8,314,24,359,82,116,55,17,6,140,2.65556,7649,17.3,4.91265,0.000642261,0.294205,0.388568,3295
"Por G1 MA, São Luís ",https://g1.globo.com/ma/maranhao/noticia/deputado-diz-que-juiz-e-promotor-cometem-crimes.ghtml,tv_celebridades,08/03/2018 18h46 ,1270,1104,413,0,8,227,17,271,33,69,27,28,0,111,2.72131,5277,18.0984,4.77989,0.000905797,0.204819,0.374094,3296
"Por G1, Brasília ",https://g1.globo.com/politica/noticia/saiba-como-politicos-reagiram-a-revisao-da-meta-fiscal-pelo-governo.ghtml,tv_celebridades,15/08/2017 20h37 ,767,657,310,0,8,101,2,199,43,22,9,2,0,28,3.05556,3126,18.25,4.75799,0.00152207,0.216667,0.471842,3297
"Por Alessandro Ferreira, Darlan Alvarenga e Taís Laporta, G1 ",https://g1.globo.com/economia/negocios/noticia/petrobras-tem-lucro-liquido-de-r-445-bilhoes-no-1-trimestre.ghtml,economia,11/05/2017 18h02 ,1611,1421,548,0,9,138,3,453,105,36,12,0,0,51,3.16667,6745,23.6833,4.74666,0.00211119,0.238579,0.385644,3298
Por BBC ,https://g1.globo.com/economia/seu-dinheiro/noticia/como-a-privatizacao-da-eletrobras-pode-afetar-sua-conta-de-luz.ghtml,tv_celebridades,28/08/2017 13h00 ,1634,1384,634,0,15,219,6,393,69,61,41,0,0,67,4.62963,6821,25.6296,4.92847,0.00433526,0.212418,0.458092,3299
Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/pedido-de-vista-adia-julgamento-de-acao-penal-contra-o-deputado-gilmar-sossella-no-tre-rs.ghtml,politica,13/06/2017 22h21 ,284,251,154,0,6,22,0,81,18,9,7,0,0,4,3.0,1226,22.8182,4.88446,0.0,0.262136,0.613546,3300
Por G1 Santos ,https://g1.globo.com/sp/santos-regiao/noticia/confira-o-que-foi-noticia-na-baixada-santista-e-no-vale-do-ribeira-em-2017.ghtml,sociedade_cotidiano,31/12/2017 06h25 ,1473,1282,640,0,5,195,2,377,59,48,35,0,0,36,2.61644,6136,17.5616,4.78627,0.00624025,0.187063,0.49922,3301
"Ricardo Brandt, Julia Affonso, Luiz Vassallo, Elisa Clavery, Francisco Carlos de Assis e Ricardo Galhardo, enviados especiais a Curitiba ",http://politica.estadao.com.br/blogs/fausto-macedo/lula-diz-que-dona-marisa-que-cuidava-de-apartamento-em-nome-de-sobrinho-de-bumlai-usado-pela-familia/,politica,13 de setembro de 2017 ,1097,986,407,0,8,167,8,256,37,43,24,5,0,64,2.70732,4643,24.0488,4.70892,0.0040568,0.189125,0.412779,3302
"Por Mariana Aldano, SP1 ",https://g1.globo.com/sp/sao-paulo/noticia/prefeitura-de-sp-fecha-hotel-do-antigo-programa-bracos-abertos-e-transfere-dependentes-para-abrigos.ghtml,tv_celebridades,26/01/2018 12h33 ,884,766,392,0,1,136,0,211,30,41,22,1,3,54,2.40816,3719,15.6327,4.85509,0.0,0.204611,0.511749,3303
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/quinta-feira-16-de-novembro-de-2017.ghtml,tv_celebridades,16/11/2017 21h01 ,1118,991,496,0,9,149,2,284,41,28,28,0,0,43,2.82222,4673,22.0222,4.71544,0.00100908,0.159353,0.500505,3304
"Por Fernanda Cesaroni e Bibiana Dionisio, G1 São Paulo e G1 Paraná ",https://g1.globo.com/sao-paulo/noticia/fhc-chega-para-depor-como-testemunha-do-presidente-do-instituto-lula.ghtml,politica,09/02/2017 09h29 ,1960,1705,622,0,22,306,5,435,69,97,36,13,2,161,2.31818,8136,15.5,4.77185,0.00058651,0.224022,0.364809,3305
Por G1 Rio ,https://g1.globo.com/rj/rio-de-janeiro/carnaval/2018/noticia/serie-de-assaltos-e-tiroteio-apavoram-moradores-na-zona-sul-do-rio-durante-o-carnaval.ghtml,politica,12/02/2018 05h05 ,1247,1078,525,0,9,193,0,299,34,55,33,3,0,61,2.38028,5154,15.1831,4.78108,0.0,0.180894,0.487013,3306
Por G1 Rio ,https://g1.globo.com/rj/rio-de-janeiro/noticia/chuva-leva-rio-de-janeiro-a-entrar-em-estagio-de-crise.ghtml,sociedade_cotidiano,15/02/2018 01h04 ,1507,1313,609,None,9,206,6,394,47,61,33,0,1,43,2.17978,6233,14.7528,4.74714,0.00380807,0.18,0.463823,3307
"Por Bruno Tavares, TV Globo ",https://g1.globo.com/sp/sao-paulo/noticia/pf-indicia-haddad-por-caixa-2-em-campanha-para-a-prefeitura-de-sp.ghtml,politica,15/01/2018 10h51 ,1235,1106,495,0,20,131,7,349,39,27,15,0,0,36,3.14634,5461,26.9756,4.93761,0.00180832,0.1375,0.447559,3308
"Por Darlan Alvarenga, Daniel Silveira e Karina Trevizan, G1 ",https://g1.globo.com/economia/negocios/noticia/petrobras-tem-prejuizo-de-r-148-bilhoes-em-2016.ghtml,politica,21/03/2017 18h03 ,1313,1140,456,0,8,128,4,345,88,29,12,0,3,36,2.9322,5232,19.322,4.58947,0.00438596,0.247357,0.4,3309
"Por Camila Bomfim, TV Globo, Brasília ",https://g1.globo.com/politica/operacao-zelotes/noticia/justica-federal-marca-depoimento-de-lula-na-zelotes-pra-fevereiro-de-2018.ghtml,politica,14/12/2017 18h37 ,338,314,166,0,2,33,1,102,12,9,9,0,0,12,2.0,1526,26.1667,4.85987,0.0,0.155556,0.528662,3310
José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/privilegios-de-parasitas/,politica,10 de abril de 2017 ,2203,1961,865,0,14,292,12,518,146,98,29,7,3,146,3.14286,9930,25.4675,5.06374,0.00509944,0.301235,0.441101,3311
"Eduardo Rodrigues, O Estado de S.Paulo ","http://economia.estadao.com.br/noticias/geral,teles-vao-reforcar-o-caixa-do-governo-em-r-2-2-bilhoes,70002246834",politica,29 de março de 2018 ,723,638,319,0,3,84,0,204,34,23,21,0,0,18,3.69565,3122,27.7391,4.89342,0.0,0.197917,0.5,3312
"Por Marina Meireles e Ricardo Novelino, G1 PE ",https://g1.globo.com/pernambuco/noticia/com-80-armas-de-fogo-lideram-estatisticas-de-homicidios-e-poem-em-xeque-seguranca-em-pe.ghtml,politica,26/09/2017 00h30 ,2535,2158,865,0,18,329,1,645,112,77,30,0,0,85,2.81343,10865,16.1045,5.03475,0.0,0.194045,0.400834,3313
"Luiz Carlos Merten, O Estado de S.Paulo ","http://cultura.estadao.com.br/noticias/geral,analise-tonia-carreiro-icone-de-classe-e-elegancia-personificadas,70002213242",politica,04 de março de 2018 ,826,694,417,None,5,76,1,212,28,19,9,0,0,30,4.0,3214,21.0303,4.63112,0.0,0.163194,0.600865,3314
"Por Bernardo Caram, Gustavo Garcia, Fernanda Calgaro e Alessandra Modzeleski, G1, Brasília ",https://g1.globo.com/politica/noticia/relator-recomenda-rejeicao-da-denuncia-contra-temer-padilha-e-moreira.ghtml,politica,10/10/2017 17h18 ,1185,1001,465,None,24,154,12,309,53,26,21,0,0,58,4.08889,5135,22.2444,5.12987,0.001998,0.170626,0.464535,3315
"Felipe Resk, O Estado de S.Paulo ","http://sao-paulo.estadao.com.br/noticias/geral,tj-sp-julga-reintegracao-de-posse-em-sao-bernardo-nesta-segunda,70002023968",politica,02 de outubro de 2017 ,842,719,366,None,16,97,10,225,20,26,9,0,0,14,3.32432,3537,19.4324,4.91933,0.00139082,0.142857,0.50904,3316
"Ricardo Brandt, Julia Affonso, Mateus Coutinho e Fausto Macedo ",http://politica.estadao.com.br/blogs/fausto-macedo/palocci-atuou-de-forma-ilicita-para-beneficiar-estaleiro-da-odebrecht-diz-mpf/,politica,03 de novembro de 2016 ,1824,1588,652,0,9,184,4,504,66,23,29,0,0,58,4.37037,8037,29.4074,5.06108,0.0,0.12936,0.410579,3317
"Por Taís Laporta, G1 ",https://g1.globo.com/economia/noticia/br-distribuidora-estreia-na-bolsa-nesta-sexta-feira-apos-levantar-r-5-bi-no-maior-ipo-desde-2013.ghtml,economia,15/12/2017 06h00 ,1106,963,426,0,23,125,2,308,42,26,22,0,0,35,3.575,4439,24.075,4.60955,0.00103842,0.157044,0.442368,3318
