indice,number of tokens,number of words without punctuation,number of types,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,document_score,document_magnitude,EVENT,LOCATION,ORGANIZATION,PERSON,classification
1556,1477,1338,569,16,188,6,413,80,37,45,0,0,46,2.72549,6700,26.2353,5.00747,0.0007473839999999999,0.0,9.0,0.0019304143349734785,0.0023626044696559096,0.0026731261319515327,0.0033339166367458628,TRUE
1557,1415,1226,544,9,225,16,327,59,58,44,5,5,101,2.95312,5756,19.1562,4.69494,0.00489396,0.0,17.799999237060547,0.002605077656208659,0.002059143489792145,0.003104436639530052,0.0041233469382859775,TRUE
1558,920,782,347,19,119,9,238,26,29,7,0,0,45,4.6,3913,26.0667,5.00384,0.00127877,0.0,5.699999809265138,0.003824593581108225,0.0038358924378241815,0.005508861462918243,0.005862136135957288,TRUE
1559,1631,1412,613,54,175,3,469,74,49,27,1,0,69,3.4761900000000003,6570,22.4127,4.65297,0.00779037,0.0,12.899999618530273,0.001663144804770127,0.0016197982210239086,0.0024396082523241137,0.002513645418730448,TRUE
1560,959,812,422,11,120,9,240,36,38,18,0,0,35,3.19565,3936,17.6522,4.84729,0.0,0.10000000149011612,7.9000000953674325,0.0048201979413904535,0.0038151720073074094,0.006014959633882557,0.0075812470780587515,TRUE
1561,697,627,296,8,78,2,205,18,19,16,0,0,21,1.84211,2915,16.5,4.64912,0.0,0.0,5.5,0.00462243280884239,0.004846812501041727,0.0052212536975275725,0.008132840611104822,TRUE
1562,439,377,186,12,48,2,118,23,14,1,0,0,13,4.13333,1919,25.1333,5.09019,0.0,0.0,2.200000047683716,0.0053009232312130426,0.006250046193599701,0.009904838841114387,0.011262494837865232,TRUE
1563,2666,2264,900,19,344,3,628,123,103,47,3,0,102,2.79167,10775,15.7222,4.75928,0.00220848,0.0,31.60000038146973,0.0020250834240477973,0.002016244518857163,0.0017705684041305046,0.001190608342844018,TRUE
1564,502,446,213,1,75,5,113,20,32,13,1,0,17,2.9473700000000003,2148,23.4737,4.81614,0.0,0.0,3.2000000476837163,0.011156956391299471,0.01066704752156511,0.00635697638305525,0.011862118810634405,TRUE
1565,1399,1222,533,11,209,10,362,52,69,33,5,1,69,3.10526,6312,21.4386,5.1653,0.000818331,0.0,9.199999809265137,0.0031724337635872265,0.0011850330435360472,0.0035092850739602,0.0031539932684411845,TRUE
1566,753,672,328,12,91,3,220,28,24,15,0,0,28,2.31429,3438,19.2,5.11607,0.0,0.0,4.900000095367432,0.003183171642012894,0.002966792891836829,0.005313294896806933,0.00662561415684531,TRUE
1567,2615,2247,874,27,398,14,597,67,148,51,4,9,138,2.57343,10781,15.7133,4.79795,0.0008900760000000001,0.0,37.79999923706055,0.002387116729607393,0.002432838974831005,0.001614501395334418,0.0014617399449394853,TRUE
1568,839,744,384,6,121,1,232,31,30,16,0,0,22,2.4359,3580,19.0769,4.8118300000000005,0.00537634,0.0,6.199999809265138,0.004773824349977075,0.004782977617205172,0.004383761330418999,0.004691818761990739,TRUE
1569,1204,1041,470,16,139,3,319,51,48,12,0,0,42,3.13462,5252,20.0192,5.04515,0.0,0.0,9.100000381469727,0.002513041563415483,0.005756592998902003,0.004025842252773263,0.004113358117212525,TRUE
1570,564,499,244,5,70,4,142,23,13,8,0,1,20,2.5,2450,19.1923,4.90982,0.0,0.10000000149011612,5.099999904632568,0.0057873164769262075,0.010395933128893376,0.009097088430145823,0.004088847622783346,TRUE
1571,2246,1957,874,31,273,6,568,115,131,28,4,0,89,3.65823,9407,24.7722,4.80685,0.00255493,0.0,21.0,0.0016405715613786256,0.0027072387682791385,0.001605986200527034,0.0020518471593842717,TRUE
1572,1521,1325,635,27,178,9,431,61,36,20,0,0,49,3.7692300000000003,6480,25.4808,4.890569999999999,0.00377358,0.0,8.399999618530272,0.0018947610224131493,0.0026309805107302964,0.002871896618671599,0.002714371428775944,TRUE
1573,1132,1003,448,12,135,4,297,50,26,21,3,0,46,3.7941199999999995,5025,29.5,5.00997,0.00199402,0.0,6.9000000953674325,0.0036844060095787353,0.0024030948601042232,0.0037092394056907367,0.004632308219330745,TRUE
1574,2215,1964,826,15,283,16,547,105,113,36,2,0,104,3.06098,9404,23.9512,4.78819,0.00610998,0.0,18.600000381469727,0.0013925012101554462,0.001771138972956045,0.0017779014966878535,0.002220635098419187,TRUE
1575,1125,977,498,11,139,1,308,40,41,22,0,0,41,2.6428599999999998,4925,17.4464,5.04094,0.0,0.0,9.600000381469727,0.003775842314210247,0.0027465135589691586,0.003452513542854124,0.004887934655099261,TRUE
1576,1608,1424,718,7,226,12,387,103,61,23,1,0,111,3.5384599999999997,6762,27.3846,4.7486,0.014044899999999999,-0.10000000149011612,12.5,0.0035715257658416205,0.002693508794580243,0.0032568991731817803,0.0026763814480995733,TRUE
1577,1075,942,402,15,138,5,298,39,31,9,4,0,29,2.21667,4579,15.7,4.860930000000001,0.0,0.0,12.699999809265135,0.00373311489502984,0.0035712838046796,0.004637706465451274,0.0036572547367541117,TRUE
1578,504,451,231,8,43,1,151,18,13,4,0,0,8,2.5238099999999997,2124,21.4762,4.70953,0.0,0.0,3.400000095367432,0.007770794219578858,0.009689368586987258,0.0075089847086928785,0.008408143142746254,TRUE
1579,967,846,477,9,112,5,258,54,33,19,1,0,37,2.37255,3933,16.5882,4.6489400000000005,0.00236407,0.10000000149011612,13.600000381469727,0.005473603270258065,0.003276017517782748,0.00540947288274765,0.004838231913745403,TRUE
1580,812,715,332,14,93,4,246,21,16,18,0,0,16,3.1290299999999998,3526,23.0645,4.93147,0.0,0.0,4.900000095367432,0.004566790453329878,0.0032960627494113786,0.003768569578824099,0.0058963113127048225,TRUE
1581,1395,1207,465,6,227,4,315,31,61,42,1,0,60,2.9375,5474,18.8594,4.53521,0.0008285,0.0,11.699999809265135,0.00242699472194848,0.0045905396351978815,0.0046326117928049745,0.003674566668758946,TRUE
1582,774,684,338,6,97,0,197,40,32,10,0,0,17,2.30769,3075,17.5385,4.49561,0.00146199,0.20000000298023224,15.300000190734865,0.004211451320554174,0.008562824440836583,0.004240436503957761,0.006857567634142471,TRUE
1583,3028,2734,983,31,358,22,832,123,77,58,0,1,144,3.23077,13529,30.044,4.94843,0.00036576400000000003,0.0,17.200000762939453,0.0013506916573422848,0.0014966300931637704,0.001506435747918052,0.0015402805481183654,TRUE
1584,383,335,189,0,61,0,92,18,10,8,0,0,17,2.08696,1554,14.5652,4.638809999999999,0.0,0.0,4.5,0.01109601429197937,0.0073965936052528295,0.004959327789644401,0.009439816152484251,TRUE
1585,989,829,469,4,125,3,240,55,45,9,0,0,57,4.1025599999999995,3967,21.2564,4.78528,0.00120627,0.10000000149011612,10.699999809265137,0.0039422745601488994,0.005397514021024108,0.0071334097391137705,0.0031380181525102148,TRUE
1586,1076,931,411,9,128,7,284,50,43,13,0,0,28,4.14286,4706,26.6,5.05478,0.00214823,0.0,5.800000190734862,0.0029662628459358,0.0019428529776632786,0.004176624471951714,0.004809197258063645,TRUE
1587,1217,1038,492,13,138,9,312,65,42,13,1,1,42,3.37736,5089,19.5849,4.9027,0.0,0.10000000149011612,13.100000381469727,0.003430131098198495,0.0031351043256900965,0.0028452107059844843,0.004477663383232025,TRUE
1588,417,401,261,13,66,2,141,14,8,4,0,0,8,2.0,1926,50.125,4.80299,0.00498753,0.0,1.0,0.007733485617098355,0.006872617581393571,0.008365889149717986,0.006371282426906485,TRUE
1589,789,694,347,14,84,3,212,26,30,8,0,0,23,2.4359,3330,17.7949,4.79827,0.0,0.0,5.9000000953674325,0.0055071666641664276,0.0036382808549595726,0.003635090323061579,0.0070625813228120515,TRUE
1590,757,637,353,2,108,1,173,30,40,9,10,0,46,2.92683,2941,15.5366,4.61695,0.00784929,0.10000000149011612,12.300000190734865,0.006463043252006173,0.005566669077697125,0.0075733232661150405,0.005227294496514582,TRUE
1591,669,578,302,13,83,4,185,21,16,9,1,0,12,2.67647,2887,17.0,4.99481,0.0017300999999999998,0.10000000149011612,8.5,0.00545211906473224,0.01173579526754717,0.0025705745884854548,0.0060027838872674,TRUE
1592,1263,1031,463,14,168,3,309,55,34,17,1,2,61,3.3623199999999995,5088,14.942,4.93501,0.0,0.10000000149011612,12.199999809265135,0.002946561805027373,0.002814579600988723,0.0035725811831071037,0.003307387332019748,TRUE
1593,2670,2424,914,37,338,15,654,104,125,38,0,0,158,2.29907,12193,22.6542,5.03012,0.000825083,0.0,21.600000381469727,0.0015255771515377866,0.0016469374508903314,0.0017599271824073098,0.0020904981223533728,TRUE
1594,1624,1430,740,16,194,5,403,102,72,26,0,0,103,3.6603800000000004,6973,26.9811,4.87622,0.0020978999999999998,0.0,11.300000190734865,0.0030900089914212003,0.0015995666819989033,0.0029040265063356076,0.002590953320216772,TRUE
1595,457,406,235,3,57,2,117,26,11,9,1,0,20,2.125,1927,16.9167,4.74631,0.0,0.20000000298023224,5.199999809265137,0.00958219390701164,0.006563732051290572,0.007483411199328573,0.010986893292283641,TRUE
1596,429,399,195,3,47,2,132,13,8,4,0,0,17,1.7647099999999998,1989,23.4706,4.98496,0.0,0.0,2.0999999046325684,0.007017541443929076,0.006651000274966161,0.006456400485088428,0.00994938934663645,TRUE
1597,1415,1234,575,10,184,4,332,80,65,27,0,0,47,2.78462,6682,18.9846,5.41491,0.00405186,0.20000000298023224,16.700000762939453,0.002650241072916863,0.003404540126211941,0.0034937487765795217,0.0028052565161842944,TRUE
1598,1362,1200,543,15,147,3,355,91,38,32,0,0,45,3.3061199999999995,6374,24.4898,5.3116699999999994,0.0,0.0,8.600000381469728,0.003579507925843989,0.0037478648785812156,0.00220993019127268,0.0034243599540076967,TRUE
1599,918,831,345,2,145,8,229,36,45,24,1,0,62,2.55882,4079,24.4412,4.90854,0.00240674,-0.10000000149011612,7.4000000953674325,0.005582834208576843,0.0046551030536647895,0.006417919998057187,0.005105612063480001,TRUE
1600,625,509,276,13,71,1,151,21,26,4,3,0,24,4.64,2640,20.36,5.186640000000001,0.00196464,0.0,2.900000095367432,0.005973705315097635,0.003929023564394031,0.006347319619222121,0.009117356872324038,TRUE
1601,1016,889,392,20,143,6,264,45,30,21,1,0,51,3.0975599999999996,4393,21.6829,4.94151,0.0,0.0,6.4000000953674325,0.003031307581945189,0.0017293689500850935,0.004258134645748545,0.0042882511985399534,TRUE
1602,588,501,286,2,81,3,154,9,21,9,1,0,22,2.55882,2321,14.7353,4.6327300000000005,0.0,0.10000000149011612,7.0999999046325675,0.005923665827140212,0.006673576336147057,0.007323663868010043,0.007890138687012164,TRUE
1603,757,671,303,7,105,4,201,16,20,25,0,0,23,2.6875,3260,20.9688,4.85842,0.00298063,0.0,5.099999904632568,0.004800339779731902,0.003544576446680973,0.005280520059526539,0.00504836949694436,TRUE
1604,1656,1493,677,12,179,8,467,89,41,20,0,0,87,2.7627099999999998,7211,25.3051,4.82987,0.000669792,0.0,11.100000381469727,0.002605191118186113,0.002105183399786862,0.0021058799154291463,0.0024063360424875523,TRUE
1605,1277,1073,544,7,179,6,293,50,55,19,5,1,64,2.87324,5026,15.1127,4.68406,0.0,0.10000000149011612,16.299999237060547,0.002174401776366202,0.00208273794366202,0.00410525505063369,0.00459693592576379,TRUE
1606,693,604,296,5,97,3,149,50,21,13,0,0,37,1.9777799999999999,2900,13.4222,4.80132,0.0,0.0,8.5,0.00554616482037565,0.012247335897492509,0.003542145190294832,0.007453662379143329,TRUE
1607,951,846,400,13,134,3,227,42,40,23,0,0,40,2.5,4235,20.1429,5.00591,0.00118203,0.10000000149011612,7.0999999046325675,0.006367475580837992,0.0034318386654679967,0.0044425507076084605,0.002702723585044671,TRUE
1608,2550,2232,999,33,270,6,635,120,85,36,5,2,108,3.41935,11350,24.0,5.08513,0.000448029,0.0,17.700000762939453,0.0014009057372612386,0.001940934809020043,0.001836505665246827,0.002173758976231699,TRUE
1609,258,238,141,5,30,2,67,20,7,1,0,0,9,1.81818,1133,21.6364,4.7605,0.0,0.10000000149011612,2.0999999046325684,0.011271630147738116,0.02235235809348524,0.007448056557526191,0.01910370205970187,TRUE
1610,819,704,361,4,112,1,196,27,28,18,0,0,35,3.59375,3428,22.0,4.86932,0.0,0.0,5.800000190734862,0.004328939058662703,0.005167904479259793,0.0038342744228430092,0.005092185371640054,TRUE
1611,907,782,375,9,125,5,212,24,35,20,7,4,58,2.5,3909,15.64,4.99872,0.00255754,0.10000000149011612,8.899999618530273,0.004182530833835092,0.0022369467187672853,0.006103780444911016,0.0056995766697747795,TRUE
1612,320,286,148,2,62,0,78,3,16,14,0,0,12,1.61905,1291,13.619000000000002,4.51399,0.0034965000000000005,0.0,2.5999999046325684,0.013060472498182207,0.007907303981482983,0.00844769769658645,0.01814283131910809,TRUE
1613,658,582,263,5,91,3,169,28,22,17,2,1,30,2.375,2834,18.1875,4.86942,0.00515464,0.0,4.300000190734863,0.007994577007625124,0.004813632151732842,0.006355251360218972,0.006753861557094836,TRUE
1614,564,502,283,5,67,1,159,20,20,8,1,0,20,2.81818,2580,22.8182,5.1394400000000005,0.0,0.0,2.0999999046325684,0.005031766224419697,0.004926676163449884,0.01004117852010365,0.007630888354278317,TRUE
1615,2420,1961,857,6,198,6,619,119,26,27,1,0,58,4.45631,9151,19.0388,4.6665,0.00152983,0.30000001192092896,33.0,0.0016818807867821305,0.0019624958146148576,0.0015706873106721198,0.0015416998604620348,TRUE
1616,531,480,224,7,63,4,154,13,13,5,0,0,23,2.21739,2374,20.8696,4.94583,0.0,0.10000000149011612,3.900000095367432,0.0057841523622091,0.005792610347270966,0.008070047391811386,0.008039198680004725,TRUE
1617,835,724,414,3,77,2,248,56,18,3,0,1,38,4.11111,3594,26.8148,4.964090000000001,0.00414365,0.20000000298023224,9.199999809265137,0.005604306110870783,0.0045751942632099,0.004893348272889853,0.004238766147934186,TRUE
1618,609,527,249,17,76,1,147,30,24,12,0,0,22,3.90476,2555,25.0952,4.8482,0.0,0.0,3.2000000476837163,0.004149965328079733,0.0075618681836534625,0.009963334055750495,0.008542576510655252,TRUE
1619,854,738,355,15,130,3,200,43,28,22,0,0,48,2.97436,3795,18.9231,5.14228,0.00948509,0.0,8.300000190734862,0.004195522920538982,0.005298038209068843,0.006772990998191139,0.0030313106315014394,TRUE
1620,731,608,343,2,118,2,163,25,28,27,3,1,39,3.0,2932,14.8293,4.822369999999999,0.0,0.0,8.199999809265138,0.004956115024948591,0.009420076185571296,0.0047814368218597435,0.006851983164731217,TRUE
1621,1235,1042,512,7,144,5,294,64,43,13,3,3,74,2.96923,4960,16.0308,4.76008,0.0009596930000000001,0.10000000149011612,15.100000381469727,0.002189128950703889,0.004101277691208654,0.0037030084880397603,0.0037579345388931563,TRUE
1622,1115,981,415,5,178,2,273,22,39,34,4,0,58,2.85106,4648,20.8723,4.73802,0.00407747,0.10000000149011612,9.300000190734863,0.0040491499355994175,0.003789805800705734,0.002218264155089855,0.0036205383686108454,TRUE
1623,1715,1469,689,7,260,6,421,86,66,31,5,0,84,2.67391,7284,15.9674,4.958480000000001,0.0122532,0.30000001192092896,34.299999237060554,0.0018041303870268168,0.0025119074457325037,0.003215891038939261,0.002565880565689729,TRUE
1624,1057,897,433,4,169,2,221,28,55,25,14,1,96,2.4615400000000003,4073,13.8,4.540690000000001,0.00557414,0.0,15.199999809265135,0.004407722916421962,0.007604799370958724,0.004647515544023078,0.0055982731879339566,TRUE
1625,742,660,314,5,74,3,199,43,18,8,1,1,35,3.90476,3287,31.4286,4.9803,0.0,0.0,2.799999952316284,0.006601801987639384,0.003371655195951462,0.005529786824869614,0.00483714690022735,TRUE
1626,1454,1253,546,21,191,9,399,68,50,26,1,0,47,3.5263199999999997,6597,21.9825,5.264959999999999,0.00159617,0.0,12.300000190734865,0.002935759624880221,0.002620080086801733,0.003777350757259112,0.002697315478664158,TRUE
1627,1408,1215,527,17,181,3,341,38,39,37,0,0,61,3.0634900000000003,5555,19.2857,4.572019999999999,0.00164609,0.0,8.699999809265138,0.004355361597845331,0.004581837053410709,0.003723069119067597,0.0028086771603076928,TRUE
1628,619,554,274,5,92,2,167,17,27,16,0,0,24,2.40741,2669,20.5185,4.81769,0.00180505,0.0,4.400000095367432,0.007386183761286013,0.003408676926763012,0.004228734727283674,0.00822083602958758,TRUE
1629,1620,1404,658,9,215,8,388,77,67,23,4,3,114,3.4285699999999997,6635,22.2857,4.72578,0.002849,0.10000000149011612,16.299999237060547,0.003037785371874479,0.003334095885153286,0.003325135647748156,0.0022935742672416377,TRUE
1630,1220,1028,546,10,159,7,300,54,43,12,1,2,77,3.04762,5095,16.3175,4.956230000000001,0.00194553,0.10000000149011612,15.399999618530273,0.002166852499358356,0.003532609846270471,0.0032454741442398656,0.003427313090651296,TRUE
1631,569,518,304,3,72,4,158,30,18,8,0,0,20,1.8888900000000002,2447,19.1852,4.72394,0.003861,0.10000000149011612,5.9000000953674325,0.006299756724258949,0.005385059811588789,0.007695339105435107,0.007635133434087038,TRUE
1632,1362,1182,571,13,166,3,320,57,60,26,0,0,55,2.95082,5858,19.377,4.95601,0.00423012,0.0,11.100000381469727,0.0038890284335901656,0.0034432640532031647,0.003564013739463029,0.0027901886642212053,TRUE
1633,1299,1145,539,5,158,0,344,60,52,10,1,0,63,2.5666700000000002,5626,19.0833,4.91354,0.0,0.10000000149011612,14.300000190734865,0.003007446285110058,0.0028332844591013305,0.00248061181363565,0.0036259217039597306,TRUE
1634,1012,869,425,6,154,7,215,61,55,18,1,1,67,2.75,4219,16.7115,4.85501,0.00115075,0.0,10.300000190734863,0.005828289307593819,0.006716995587339625,0.004159069337349918,0.006099302245083412,TRUE
1635,2756,2406,1103,22,304,11,723,153,125,32,2,2,122,3.3980599999999996,11720,23.3592,4.87116,0.00872818,0.10000000149011612,21.5,0.0014188760204077071,0.0017283607600584732,0.0018303686782019208,0.0012673775012523908,TRUE
1636,145,126,84,0,14,0,38,6,6,4,0,0,1,1.9,581,12.6,4.61111,0.0,0.0,1.399999976158142,0.026898075826466084,0.040098664234392345,0.022441493347287175,0.010556740686297415,TRUE
1637,1186,1030,477,23,164,11,306,44,55,19,1,0,50,4.0,4801,26.4103,4.661169999999999,0.0,0.0,7.9000000953674325,0.0031661715719995924,0.0032950497071187078,0.003785005325857455,0.003881392941380349,TRUE
1638,729,649,354,4,99,1,186,32,26,17,0,0,22,1.86047,3039,15.093,4.68259,0.0,0.0,6.699999809265138,0.004946662549627946,0.009023054444696754,0.006308852753136307,0.00782113493187353,TRUE
1639,2000,1738,775,5,292,13,449,109,115,32,12,2,135,2.22034,8334,14.7288,4.79517,0.013809,0.10000000149011612,31.5,0.002102117183134325,0.002201030721746223,0.0016118423335011241,0.0024946486236343927,TRUE
1640,1318,1162,511,27,138,1,346,48,42,25,0,0,45,2.73684,5843,20.386,5.0284,0.000860585,0.0,9.0,0.0036750535526702734,0.002457050765062579,0.003262864926116581,0.003635025917025036,TRUE
1641,1032,921,416,7,172,4,242,41,55,29,1,0,81,1.8196700000000001,4380,15.0984,4.7557,0.00108578,0.0,13.100000381469727,0.0034415168454870588,0.003968514734879136,0.002822664217092097,0.006001183111220598,TRUE
1642,708,622,304,7,98,3,166,32,30,16,0,0,37,1.7551,3022,12.6939,4.8585199999999995,0.00160772,0.10000000149011612,10.399999618530273,0.0055635390472748595,0.009119521457857141,0.0046520737814717,0.006564467376487893,TRUE
1643,1615,1398,564,15,164,3,421,67,27,23,1,0,49,3.94545,7157,25.4182,5.11946,0.0,0.0,7.300000190734862,0.002143561452560659,0.002500014448100153,0.0033588739818680964,0.002777516937453244,TRUE
1644,494,428,222,10,68,2,129,11,12,8,0,0,20,3.3,2130,21.4,4.97664,0.0,0.0,3.5999999046325684,0.00523602515750099,0.014122693537501618,0.009452968874635795,0.008182750399490553,TRUE
1645,2181,1909,921,20,275,8,539,100,97,32,9,0,128,3.57895,9453,25.1184,4.95181,0.00576218,0.0,21.100000381469727,0.00250815163197895,0.0010842567372005866,0.002723257666837205,0.002334672941761717,TRUE
1646,519,454,251,4,76,2,110,36,20,11,0,0,31,2.6,2162,18.16,4.76211,0.00220264,0.10000000149011612,5.0,0.01118542356804634,0.013030170230194926,0.0043441877545168,0.009238222613930702,TRUE
1647,852,735,354,2,130,2,193,26,45,16,2,0,41,2.34,3550,14.7,4.82993,0.00272109,0.20000000298023224,15.100000381469727,0.005436798810541372,0.003361298794126405,0.0031643963143737483,0.005428581895359176,TRUE
1648,337,297,159,7,39,3,98,1,13,7,0,0,13,2.8571400000000002,1427,21.2143,4.80471,0.0,0.10000000149011612,1.6000000238418581,0.007898185021159325,0.0051049900241196145,0.014457718608900903,0.01509477146079435,TRUE
1649,716,641,332,4,87,3,184,43,21,11,0,0,21,3.26087,3429,27.8696,5.34945,0.0,0.0,2.5999999046325684,0.0064291413000319144,0.0051089629996567965,0.006192414620373812,0.004737987939734012,TRUE
1650,2823,2424,787,10,473,20,602,77,139,64,78,1,301,2.5414,11226,15.4395,4.63119,0.00206271,0.0,37.29999923706055,0.0011217526625841856,0.0009677484437512853,0.002346256030167834,0.0019009565618793689,TRUE
1651,1003,872,394,10,151,6,200,49,60,16,9,0,65,3.04651,4259,20.2791,4.88417,0.00344037,0.0,10.5,0.003358818171545863,0.0043282535754972035,0.015383391718690596,0.006746872350936983,TRUE
1652,970,832,413,4,117,7,257,46,34,18,1,2,40,3.6315800000000005,4263,21.8947,5.1238,0.0,0.0,6.199999809265138,0.0028381647924626517,0.005192483726300691,0.003818927456022185,0.004214350919227865,TRUE
1653,388,345,191,3,44,0,106,13,5,4,1,0,17,2.15,1668,17.25,4.83478,0.0,0.0,3.0999999046325684,0.009555256638962487,0.011002605004856985,0.011993943480774759,0.014271581651304256,TRUE
1654,1218,1057,491,6,212,4,268,69,64,31,4,0,68,2.26761,5113,14.8873,4.837280000000001,0.000946074,0.10000000149011612,20.0,0.005108104131068103,0.003215022129006684,0.004770877790482094,0.00292027497436015,TRUE
1655,999,866,389,16,126,5,261,46,40,18,0,0,27,3.5,4382,22.7895,5.06005,0.0,0.0,6.4000000953674325,0.003940304843423774,0.0022430004784837363,0.0045925478737514755,0.003961380657867766,TRUE
1656,398,355,172,5,57,0,110,6,15,8,0,0,6,2.15,1652,17.75,4.653519999999999,0.0,0.0,3.5,0.011121925846156145,0.00902142931761987,0.006769131403416395,0.00774973857083491,TRUE
1657,961,843,369,6,115,8,250,21,46,14,2,0,41,2.80952,4048,20.0714,4.8019,0.00237248,0.0,7.0999999046325675,0.004835359472286036,0.0028137519346693386,0.004058269000696865,0.005435537742662497,TRUE
1658,526,453,249,9,58,4,139,20,11,5,0,0,23,3.4761900000000003,2163,21.5714,4.774830000000001,0.00220751,0.10000000149011612,3.7000000476837163,0.006377337642175996,0.006617743638344109,0.0063781905420390635,0.005937240546865558,TRUE
1659,1028,927,513,11,143,5,282,33,34,23,0,0,20,2.19565,4320,20.1522,4.66019,0.00431499,0.0,9.699999809265137,0.004983086824023093,0.0030252866017690394,0.0035438270737918522,0.0037343198031697775,TRUE
1660,2413,2101,888,27,311,4,563,154,83,33,1,5,151,2.97143,10268,20.0095,4.8872,0.00380771,0.10000000149011612,24.60000038146973,0.0017561776109721028,0.0022672755825196337,0.0021567555554413602,0.0019172648843401347,TRUE
1661,1087,951,485,6,136,1,269,61,51,23,0,0,45,3.3170699999999997,4604,23.1951,4.84122,0.0,0.0,7.4000000953674325,0.003485754003270051,0.004614909081003414,0.0037456222266579672,0.003574583382130816,TRUE
1662,1130,963,458,1,207,9,222,44,55,37,4,0,88,2.92982,4521,16.8947,4.6947,0.00207684,0.0,12.399999618530273,0.0038745496287727007,0.005608404563231902,0.011894321313593536,0.004138919798670415,TRUE
1663,1508,1313,567,30,240,8,384,33,57,35,1,1,54,2.78571,6317,18.7571,4.81112,0.00304646,0.0,11.199999809265137,0.0022758449169082776,0.0031712991491842425,0.001982251381329996,0.003088142714025735,TRUE
1664,592,505,267,19,74,3,150,10,21,14,0,1,26,3.34615,2463,19.4231,4.87723,0.0,0.10000000149011612,4.900000095367432,0.0038872106302091296,0.00884551442383478,0.010558288147741998,0.007126437689833067,TRUE
1665,1105,936,458,2,175,2,246,37,41,14,6,3,73,2.77049,4313,15.3443,4.6079099999999995,0.00106838,0.10000000149011612,16.100000381469727,0.005614974064519629,0.006548940836052809,0.005335511212858061,0.004323709326642521,TRUE
1666,2645,2369,984,25,327,5,751,93,50,52,1,0,68,2.0597,11106,17.6791,4.68805,0.00168848,0.0,27.10000038146973,0.0015822626314624107,0.002106947421519336,0.0016380524697104614,0.0011962349067639127,TRUE
1667,841,750,369,7,91,2,232,42,35,9,0,0,26,2.2195099999999996,3598,18.2927,4.7973300000000005,0.00533333,0.0,7.5,0.004668885138817132,0.004333104934844682,0.0035594461113214494,0.004620823009202304,TRUE
1668,1004,902,423,8,146,4,265,29,30,26,0,0,43,2.125,4543,18.7917,5.03659,0.00443459,0.0,7.5,0.004125631743784439,0.004356202154961085,0.0055673385538872995,0.0036114235837502702,TRUE
1669,924,810,398,8,161,1,217,29,43,22,1,0,49,2.4255299999999997,3941,17.234,4.86543,0.00246914,0.0,7.4000000953674325,0.006776738724771089,0.005329449985813545,0.0029598812714381056,0.0043570459613369575,TRUE
1670,599,519,265,3,85,1,145,21,27,13,0,0,20,3.4782599999999997,2577,22.5652,4.965319999999999,0.00770713,0.10000000149011612,4.199999809265137,0.008181297841171423,0.01185135869309306,0.008990798310454316,0.009371177278808318,TRUE
1671,2243,1944,652,11,378,10,446,134,150,51,5,2,203,2.5339,9004,16.4746,4.63169,0.00462963,0.0,32.700000762939446,0.0023526796936302594,0.004723762266803534,0.004288704801266165,0.0031356841096684576,TRUE
1672,1235,1088,451,35,179,4,328,25,48,27,0,1,42,2.625,5101,19.4286,4.68842,0.0,0.0,8.399999618530272,0.002417617868761429,0.0036844011066995306,0.003329015050611987,0.003717518082945996,TRUE
1673,1258,1103,486,8,168,9,324,37,44,24,6,0,48,2.7193,5317,19.3509,4.82049,0.0,0.0,11.699999809265135,0.0029568654296373755,0.00365410402550229,0.0024395190982128647,0.0054863893702118225,TRUE
1674,398,352,208,5,42,1,112,11,11,3,0,0,14,3.0666700000000002,1737,23.4667,4.93466,0.0,0.0,2.5999999046325684,0.008153924997895957,0.007492819192031255,0.007742748087780043,0.011695056002134005,TRUE
1675,1096,952,468,11,140,7,290,61,40,15,0,0,37,3.27273,4827,21.6364,5.07038,0.00210084,0.0,8.699999809265138,0.0032535273127169127,0.002545163371703691,0.003219432352731625,0.004571224478158085,TRUE
1676,578,485,245,13,65,3,151,17,12,10,0,1,15,4.22727,2306,22.0455,4.75464,0.0,0.10000000149011612,3.5999999046325684,0.006011216951135013,0.0065068895380724886,0.0066671297342206035,0.008028173423913676,TRUE
1677,756,655,313,3,100,6,191,17,20,14,3,0,39,2.88571,3198,18.7143,4.88244,0.0,0.10000000149011612,5.699999809265138,0.004827160258880921,0.004325151171845694,0.006376675514997367,0.006322312794509344,TRUE
1678,308,274,156,8,33,0,86,3,8,3,0,0,8,2.26667,1309,18.2667,4.7773699999999995,0.0,0.10000000149011612,1.8999999761581419,0.010135675470034279,0.00951127167791128,0.007437114790081978,0.016716540198434486,TRUE
1679,3103,2663,1058,3,265,2,738,170,74,25,0,0,112,1.92982,12824,11.6798,4.81562,0.00262861,0.20000000298023224,64.19999694824219,0.0011596874914864461,0.0016440220888516586,0.0009421128557091033,0.0010852451733727425,TRUE
1680,2024,1752,803,16,306,10,462,83,114,48,1,3,113,2.30508,8680,14.8475,4.95434,0.0005707759999999999,0.0,28.60000038146973,0.0024258525513890963,0.002114232407719199,0.002468685606100525,0.0027842944735161877,TRUE
